# Logfile created on 2015-06-13 20:15:47 +0200 by logger.rb/v1.2.7
D, [2015-06-13T20:15:47.404199 #5687] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0134ms
D, [2015-06-14T20:44:28.581067 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3633ms
D, [2015-06-14T20:44:28.582255 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2127ms
D, [2015-06-14T20:44:28.583061 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x40271100 data=557dcb8c726a751350000006>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4189ms
D, [2015-06-14T20:44:28.588063 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3383ms
D, [2015-06-14T20:44:28.589130 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4246ms
D, [2015-06-14T20:44:28.590721 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3757ms
D, [2015-06-14T20:44:28.591931 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3653ms
D, [2015-06-14T20:44:28.592928 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3099ms
D, [2015-06-14T20:44:28.595098 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3452ms
D, [2015-06-14T20:44:28.596887 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2944ms
D, [2015-06-14T20:44:28.598701 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 4", "text"=>"Text 4", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x39711620 data=557dcb8c726a751350000007>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5136ms
D, [2015-06-14T20:44:28.600542 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2692ms
D, [2015-06-14T20:44:28.601014 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x39450880 data=557dcb8c726a751350000007>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1657ms
D, [2015-06-14T20:44:28.601693 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x39448000 data=557dcb8c726a751350000007>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dcb8c726a751350000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.2959ms
D, [2015-06-14T20:44:28.603164 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 5", "text"=>"Text 5", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x39261920 data=557dcb8c726a751350000008>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2923ms
D, [2015-06-14T20:44:28.604714 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3414ms
D, [2015-06-14T20:44:28.605217 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x39045160 data=557dcb8c726a751350000008>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1898ms
D, [2015-06-14T20:44:28.605937 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x39026280 data=557dcb8c726a751350000008>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dcb8c726a751350000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.3083ms
D, [2015-06-14T20:44:28.607569 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 6", "text"=>"Text 6", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x38789860 data=557dcb8c726a751350000009>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3588ms
D, [2015-06-14T20:44:28.608925 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2828ms
D, [2015-06-14T20:44:28.609464 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x38689720 data=557dcb8c726a751350000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2115ms
D, [2015-06-14T20:44:28.610156 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x38687160 data=557dcb8c726a751350000009>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557dcb8c726a751350000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.3374ms
D, [2015-06-14T20:44:28.610904 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x38605860 data=557dcb8c726a751350000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2317ms
D, [2015-06-14T20:44:28.612262 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 7", "text"=>"Text 7", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x38523900 data=557dcb8c726a75135000000a>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3083ms
D, [2015-06-14T20:44:28.618287 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 8", "text"=>"Text 8", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x38399440 data=557dcb8c726a75135000000b>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 3.8426ms
D, [2015-06-14T20:44:28.619716 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2923ms
D, [2015-06-14T20:44:28.621057 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4838ms
D, [2015-06-14T20:44:28.622123 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 9", "text"=>"Text 9", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x38207520 data=557dcb8c726a75135000000c>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5112ms
D, [2015-06-14T20:44:28.623334 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2511ms
D, [2015-06-14T20:44:28.623864 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x38066220 data=557dcb8c726a75135000000c>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2327ms
D, [2015-06-14T20:44:28.624579 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x38063600 data=557dcb8c726a75135000000c>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3207ms
D, [2015-06-14T20:44:28.625952 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4852ms
D, [2015-06-14T20:44:28.627576 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 10", "text"=>"Text 10", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x37998800 data=557dcb8c726a75135000000d>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.7529ms
D, [2015-06-14T20:44:28.629738 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4306ms
D, [2015-06-14T20:44:28.630577 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x37874560 data=557dcb8c726a75135000000d>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2928ms
D, [2015-06-14T20:44:28.631133 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x37871700 data=557dcb8c726a75135000000d>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2620ms
D, [2015-06-14T20:44:28.631644 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.1752ms
D, [2015-06-14T20:44:28.632700 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4888ms
D, [2015-06-14T20:44:28.633766 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 11", "text"=>"Text 11", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x37785380 data=557dcb8c726a75135000000e>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4745ms
D, [2015-06-14T20:44:28.634674 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user2@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3338ms
D, [2015-06-14T20:44:28.635294 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user2@email.com", "name"=>"User2", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x37724760 data=557dcb8c726a75135000000f>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3159ms
D, [2015-06-14T20:44:28.635800 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 12", "text"=>"Text 12", "user_id"=>"557dcb8c726a75135000000f", "_id"=><BSON::ObjectId:0x37693340 data=557dcb8c726a751350000010>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2782ms
D, [2015-06-14T20:44:28.637024 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"P0xBS7lVDlbXFo66vCOtrw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2675ms
D, [2015-06-14T20:44:28.637507 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x37577660 data=557dcb8c726a751350000010>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2012ms
D, [2015-06-14T20:44:28.638787 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4325ms
D, [2015-06-14T20:44:28.639758 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 13", "text"=>"Text 13", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x37459140 data=557dcb8c726a751350000011>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4783ms
D, [2015-06-14T20:44:28.642217 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.6990ms
D, [2015-06-14T20:44:28.643554 #4944] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 14", "text"=>"Text 14", "user_id"=>"557dcb8c726a751350000000", "_id"=><BSON::ObjectId:0x37173200 data=557dcb8c726a751350000012>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6924ms
D, [2015-06-14T20:44:28.645129 #4944] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3715ms
D, [2015-06-14T20:44:32.422512 #4954] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0093ms
D, [2015-06-14T20:44:32.423806 #4954] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 1.0903ms
D, [2015-06-14T20:44:32.438961 #4954] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 14.6682ms
D, [2015-06-14T20:44:32.500693 #4954] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3829ms
D, [2015-06-14T20:44:32.508179 #4954] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 7.0753ms
D, [2015-06-14T20:44:32.565357 #4954] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"IJ2blompo2Lfg4peV3JV6w=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3054ms
D, [2015-06-14T20:44:32.566024 #4954] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>}, :u=>{"$set"=>{"session_token"=>"IJ2blompo2Lfg4peV3JV6w=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3603ms
D, [2015-06-14T20:44:32.566377 #4954] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1869ms
D, [2015-06-14T20:44:32.567629 #4954] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>}, :u=>{"$set"=>{"session_token"=>"IJ2blompo2Lfg4peV3JV6w=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2921ms
D, [2015-06-14T20:44:32.567969 #4954] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1652ms
D, [2015-06-14T20:44:32.568514 #4954] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x13115100 data=557dcb90726a75135a000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1712ms
D, [2015-06-14T20:45:24.802432 #4964] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0091ms
D, [2015-06-14T20:45:24.803373 #4964] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.7663ms
D, [2015-06-14T20:45:24.816734 #4964] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 12.9898ms
D, [2015-06-14T20:45:24.873401 #4964] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4020ms
D, [2015-06-14T20:45:24.882939 #4964] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x14691620 data=557dcbc4726a751364000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 9.1302ms
D, [2015-06-14T20:45:24.884079 #4964] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"c048yytIoBydfy1EMF3Ucw=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3285ms
D, [2015-06-14T20:45:24.884695 #4964] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x14691620 data=557dcbc4726a751364000000>}, :u=>{"$set"=>{"session_token"=>"c048yytIoBydfy1EMF3Ucw=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3326ms
D, [2015-06-14T20:45:24.885173 #4964] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x14691620 data=557dcbc4726a751364000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2832ms
D, [2015-06-14T20:45:39.070491 #4974] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0100ms
D, [2015-06-14T20:45:39.071398 #4974] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.7341ms
D, [2015-06-14T20:45:39.081670 #4974] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 9.9127ms
D, [2015-06-14T20:45:39.136769 #4974] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4435ms
D, [2015-06-14T20:45:39.143619 #4974] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x27981440 data=557dcbd3726a75136e000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 6.4609ms
D, [2015-06-14T20:45:39.144719 #4974] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"U4XIhnUSEVh4r1r5ytBraA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2851ms
D, [2015-06-14T20:45:39.145398 #4974] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x27981440 data=557dcbd3726a75136e000000>}, :u=>{"$set"=>{"session_token"=>"U4XIhnUSEVh4r1r5ytBraA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3695ms
D, [2015-06-14T20:45:39.145914 #4974] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x27981440 data=557dcbd3726a75136e000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2632ms
D, [2015-06-14T20:46:14.064523 #4985] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0093ms
D, [2015-06-14T20:46:14.065383 #4985] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6862ms
D, [2015-06-14T20:46:14.077689 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 11.9243ms
D, [2015-06-14T20:46:14.132532 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3977ms
D, [2015-06-14T20:46:14.139781 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x22729220 data=557dcbf6726a751379000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 6.8398ms
D, [2015-06-14T20:46:14.201310 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5524ms
D, [2015-06-14T20:46:14.202125 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"GlClwphZNBHTfra6kJCsfQ=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3624ms
D, [2015-06-14T20:46:14.203017 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x35407580 data=557dcbf6726a751379000000>}, :u=>{"$set"=>{"session_token"=>"GlClwphZNBHTfra6kJCsfQ=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6428ms
D, [2015-06-14T20:46:14.216953 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3867ms
D, [2015-06-14T20:46:14.217648 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x35974700 data=557dcbf6726a751379000000>}, :u=>{"$set"=>{"session_token"=>"GlClwphZNBHTfra6kJCsfQ=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2842ms
D, [2015-06-14T20:46:14.218282 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x22729220 data=557dcbf6726a751379000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1903ms
D, [2015-06-14T20:46:14.219432 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x22729220 data=557dcbf6726a751379000000>}, :u=>{"$set"=>{"session_token"=>"GlClwphZNBHTfra6kJCsfQ=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5140ms
D, [2015-06-14T20:46:14.219884 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x22729220 data=557dcbf6726a751379000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2944ms
D, [2015-06-14T20:46:14.221736 #4985] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"GlClwphZNBHTfra6kJCsfQ=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5569ms
D, [2015-06-14T20:46:14.222649 #4985] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x36105180 data=557dcbf6726a751379000000>}, :u=>{"$set"=>{"session_token"=>nil}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5989ms
